,resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
270,64,1024,512,,0.0,relu,1.0771769285202026,0.6302083134651184,1.5649160146713257,0.421875,1.5377492904663086,0.49609375
133,16,1024,512,128.0,0.0,tanh,0.8443260788917542,0.7161458134651184,1.5621671676635742,0.4453125,1.5424907207489014,0.48828125
109,16,1024,256,,0.0,tanh,0.9639825224876404,0.67578125,1.5207526683807373,0.484375,1.4780216217041016,0.48828125
110,16,1024,256,,0.2,relu,0.9393129348754884,0.6940104365348816,1.4965955018997192,0.4609375,1.4877724647521973,0.48828125
73,16,512,256,,0.0,tanh,1.15632164478302,0.5872395634651184,1.4883016347885132,0.47265625,1.4250026941299438,0.48828125
101,16,512,512,128.0,0.4,tanh,1.1947340965270996,0.5833333134651184,1.452277898788452,0.484375,1.4458469152450562,0.484375
129,16,1024,512,,0.2,tanh,1.086882472038269,0.6380208134651184,1.4807122945785522,0.46875,1.4585795402526855,0.484375
114,16,1024,256,128.0,0.0,relu,0.7871859669685364,0.7317708134651184,1.5353286266326904,0.50390625,1.557373046875,0.48046875
79,16,512,256,128.0,0.0,tanh,0.8449592590332031,0.7161458134651184,1.5326778888702393,0.453125,1.4959173202514648,0.48046875
75,16,512,256,,0.2,tanh,0.8588876724243164,0.7239583134651184,1.444493055343628,0.45703125,1.4113777875900269,0.48046875
