filter_size_1,filter_size_2,pooling,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
5,3,average,0.0,relu,1.0915703773498535,0.6145833134651184,1.2695308923721313,0.54296875,1.3463096618652344,0.51953125
5,3,average,0.0,tanh,0.9414131045341492,0.6822916865348816,1.3000987768173218,0.5390625,1.4331611394882202,0.46875
5,3,average,0.2,relu,0.42060160636901855,0.8619791865348816,0.9311118125915527,0.6875,1.2419235706329346,0.609375
5,3,average,0.2,tanh,0.9922541975975037,0.6484375,1.3010540008544922,0.5390625,1.4816852807998657,0.46484375
5,3,average,0.4,relu,0.47296154499053955,0.8541666865348816,0.9285836815834045,0.68359375,1.2544217109680176,0.58203125
5,3,average,0.4,tanh,0.47106388211250305,0.8645833134651184,1.2603684663772583,0.5703125,1.4709062576293945,0.5078125
5,3,max,0.0,relu,0.3591494560241699,0.8815104365348816,1.020731806755066,0.66796875,1.0837807655334473,0.671875
5,3,max,0.0,tanh,0.12061924487352371,0.984375,0.9087498188018799,0.68359375,1.0573850870132446,0.63671875
5,3,max,0.2,relu,0.47383561730384827,0.8541666865348816,0.9476332664489746,0.69140625,1.0538420677185059,0.6015625
5,3,max,0.2,tanh,0.17742492258548737,0.9583333134651184,0.8710415959358215,0.7109375,0.9889631271362305,0.66796875
5,3,max,0.4,relu,0.17043614387512207,0.9674479365348816,0.9552239775657654,0.7265625,1.0824352502822876,0.68359375
5,3,max,0.4,tanh,0.423443466424942,0.8736979365348816,0.9223225116729736,0.6875,0.967869222164154,0.68359375
5,5,average,0.0,relu,0.7030660510063171,0.7513020634651184,1.2750940322875977,0.59375,1.3648722171783447,0.5390625
5,5,average,0.0,tanh,0.7747458815574646,0.7552083134651184,1.2663154602050781,0.5546875,1.4417115449905396,0.46484375
5,5,average,0.2,relu,0.547872006893158,0.8307291865348816,1.0337331295013428,0.6640625,1.246242880821228,0.625
5,5,average,0.2,tanh,0.6670548915863037,0.7916666865348816,1.2862091064453125,0.58203125,1.6071168184280396,0.4765625
5,5,average,0.4,relu,0.5034260153770447,0.8385416865348816,1.0741647481918335,0.6484375,1.2137141227722168,0.625
5,5,average,0.4,tanh,0.1662910282611847,0.95703125,1.3525686264038086,0.5859375,1.571655035018921,0.54296875
5,5,max,0.0,relu,0.3801443874835968,0.8671875,1.0234949588775635,0.71484375,1.0728102922439575,0.64453125
5,5,max,0.0,tanh,0.022710300981998444,1.0,0.9283745288848877,0.72265625,1.1023354530334473,0.6796875
5,5,max,0.2,relu,0.3450978696346283,0.8919270634651184,0.9392955303192139,0.69921875,1.0356731414794922,0.6796875
5,5,max,0.2,tanh,0.0986199676990509,0.9869791865348816,0.9424723386764526,0.67578125,1.0753155946731567,0.6640625
5,5,max,0.4,relu,0.2773987054824829,0.9205729365348816,0.950674831867218,0.72265625,1.0169925689697266,0.69140625
5,5,max,0.4,tanh,0.21393312513828278,0.9453125,0.9385780096054077,0.65234375,1.0214160680770874,0.65234375
7,3,average,0.0,relu,0.654285728931427,0.765625,1.191571831703186,0.61328125,1.4564223289489746,0.53125
7,3,average,0.0,tanh,0.7974789142608643,0.7395833134651184,1.2745888233184814,0.55078125,1.4783942699432373,0.47265625
7,3,average,0.2,relu,0.5521456599235535,0.81640625,1.0219484567642212,0.62890625,1.1660274267196655,0.59765625
7,3,average,0.2,tanh,0.6329804062843323,0.7942708134651184,1.2808594703674316,0.578125,1.4754879474639893,0.484375
7,3,average,0.4,relu,0.40672066807746887,0.87109375,1.0087051391601562,0.6796875,1.3102638721466064,0.625
7,3,average,0.4,tanh,0.28764986991882324,0.9140625,1.250048041343689,0.62109375,1.5711126327514648,0.50390625
7,3,max,0.0,relu,0.4170611798763275,0.8684895634651184,1.0531727075576782,0.62109375,1.1486250162124634,0.59765625
7,3,max,0.0,tanh,0.33037111163139343,0.9296875,0.9300894141197205,0.640625,0.9378070831298828,0.64453125
7,3,max,0.2,relu,0.2420714646577835,0.921875,0.895470380783081,0.6953125,1.1076499223709106,0.6484375
7,3,max,0.2,tanh,0.3167557418346405,0.9036458134651184,0.9277074337005615,0.6796875,1.046622395515442,0.62890625
7,3,max,0.4,relu,0.3080516755580902,0.9114583134651184,1.1187429428100586,0.6640625,1.1387948989868164,0.609375
7,3,max,0.4,tanh,0.14845998585224152,0.9661458134651184,0.9678530693054199,0.67578125,0.9730631709098816,0.703125
7,5,average,0.0,relu,1.1324774026870728,0.5950520634651184,1.309601068496704,0.51171875,1.4413025379180908,0.45703125
7,5,average,0.0,tanh,0.5941646695137024,0.8424479365348816,1.3351343870162964,0.56640625,1.490599513053894,0.4921875
7,5,average,0.2,relu,0.3990602195262909,0.8763020634651184,0.9894663691520691,0.66796875,1.2481883764266968,0.5859375
7,5,average,0.2,tanh,0.9449213147163391,0.6901041865348816,1.320321798324585,0.52734375,1.4546157121658325,0.48828125
