resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
8,512,256,,0.0,relu,0.7421819567680359,0.7708333134651184,1.4196233749389648,0.46875,1.5051476955413818,0.48046875
8,512,256,,0.0,tanh,1.0458518266677856,0.6432291865348816,1.4315847158432007,0.46484375,1.4607771635055542,0.44140625
8,512,256,,0.2,relu,1.252329707145691,0.6067708134651184,1.4623782634735107,0.46484375,1.542106032371521,0.42578125
8,512,256,,0.2,tanh,0.8938863277435303,0.72265625,1.4468313455581665,0.48828125,1.5046167373657227,0.46484375
8,512,256,,0.4,relu,1.3112385272979736,0.5325520634651184,1.574326515197754,0.41796875,1.6708691120147705,0.34765625
8,512,256,,0.4,tanh,1.3532872200012207,0.5143229365348816,1.5597925186157227,0.421875,1.5642049312591553,0.4140625
8,512,256,128.0,0.0,relu,1.0245457887649536,0.6341145634651184,1.4626922607421875,0.453125,1.5364172458648682,0.4296875
8,512,256,128.0,0.0,tanh,0.7650609612464905,0.7643229365348816,1.4270858764648438,0.484375,1.5054528713226318,0.4375
8,512,256,128.0,0.2,relu,1.1338419914245605,0.625,1.4831613302230835,0.43359375,1.5609309673309326,0.41796875
8,512,256,128.0,0.2,tanh,1.240761160850525,0.5533854365348816,1.4983798265457153,0.44921875,1.4842437505722046,0.421875
8,512,256,128.0,0.4,relu,1.4635339975357056,0.4830729067325592,1.6038734912872314,0.40625,1.6215903759002686,0.390625
8,512,256,128.0,0.4,tanh,1.3528348207473755,0.5130208134651184,1.5664141178131104,0.44140625,1.5805635452270508,0.390625
8,512,256,256.0,0.0,relu,1.2108440399169922,0.5716145634651184,1.482720136642456,0.453125,1.4741131067276,0.46875
8,512,256,256.0,0.0,tanh,0.7888146042823792,0.7317708134651184,1.4345076084136963,0.46875,1.5393754243850708,0.41015625
8,512,256,256.0,0.2,relu,1.1316604614257812,0.62890625,1.4769036769866943,0.47265625,1.563319444656372,0.44140625
8,512,256,256.0,0.2,tanh,1.2262872457504272,0.5481770634651184,1.4834131002426147,0.4609375,1.477368950843811,0.42578125
8,512,256,256.0,0.4,relu,1.4438767433166504,0.484375,1.5927461385726929,0.3984375,1.6328315734863281,0.3828125
8,512,256,256.0,0.4,tanh,1.3343820571899414,0.5286458134651184,1.5708154439926147,0.4140625,1.5624730587005615,0.4140625
8,512,512,,0.0,relu,1.0663317441940308,0.6145833134651184,1.4703415632247925,0.4765625,1.4912418127059937,0.41015625
8,512,512,,0.0,tanh,0.7709314823150635,0.7565104365348816,1.4141606092453003,0.49609375,1.5326255559921265,0.4375
8,512,512,,0.2,relu,1.0091434717178345,0.6861979365348816,1.4645246267318726,0.453125,1.597672462463379,0.42578125
8,512,512,,0.2,tanh,1.0980526208877563,0.6302083134651184,1.4649344682693481,0.4609375,1.5019636154174805,0.47265625
8,512,512,,0.4,relu,1.4157761335372925,0.5078125,1.5773990154266357,0.40625,1.6594964265823364,0.390625
8,512,512,,0.4,tanh,1.3150755167007446,0.5559895634651184,1.5373420715332031,0.4375,1.5480014085769653,0.43359375
8,512,512,128.0,0.0,relu,0.9345815777778625,0.6796875,1.4845147132873535,0.46875,1.5546737909317017,0.4296875
8,512,512,128.0,0.0,tanh,0.679538905620575,0.796875,1.4519410133361816,0.4609375,1.528123140335083,0.4296875
8,512,512,128.0,0.2,relu,0.9679842591285706,0.6796875,1.4967584609985352,0.46875,1.6107078790664673,0.3828125
8,512,512,128.0,0.2,tanh,1.0097535848617554,0.66796875,1.4554606676101685,0.4609375,1.5082197189331055,0.4296875
8,512,512,128.0,0.4,relu,1.394757866859436,0.4778645932674408,1.597048044204712,0.38671875,1.6694533824920654,0.37109375
8,512,512,128.0,0.4,tanh,1.353564739227295,0.50390625,1.569675087928772,0.43359375,1.574383020401001,0.390625
8,512,512,256.0,0.0,relu,0.9850466847419739,0.671875,1.4515736103057861,0.48828125,1.5183316469192505,0.41796875
8,512,512,256.0,0.0,tanh,0.6422963738441467,0.8098958134651184,1.479143500328064,0.4609375,1.514574646949768,0.4296875
8,512,512,256.0,0.2,relu,1.217734456062317,0.5885416865348816,1.4886934757232666,0.44921875,1.5711747407913208,0.4140625
8,512,512,256.0,0.2,tanh,0.9239937663078308,0.71875,1.486646056175232,0.4453125,1.52493155002594,0.4375
8,512,512,256.0,0.4,relu,1.428561806678772,0.4921875,1.5959742069244385,0.40625,1.6272038221359253,0.3515625
8,512,512,256.0,0.4,tanh,1.3679910898208618,0.5260416865348816,1.5396106243133545,0.4453125,1.555945873260498,0.43359375
8,1024,256,,0.0,relu,1.022657036781311,0.6315104365348816,1.4427729845046997,0.4375,1.5457696914672852,0.4140625
8,1024,256,,0.0,tanh,0.9454283118247986,0.6888020634651184,1.436201572418213,0.46484375,1.447839617729187,0.44140625
8,1024,256,,0.2,relu,1.0519630908966064,0.6419270634651184,1.4320557117462158,0.48828125,1.55220365524292,0.42578125
8,1024,256,,0.2,tanh,0.8155351281166077,0.7682291865348816,1.4669435024261475,0.5,1.548795461654663,0.4375
8,1024,256,,0.4,relu,1.349960446357727,0.54296875,1.5454522371292114,0.44140625,1.625417947769165,0.39453125
